216
16951	17009	1	0	0
75515	75607	2	1	1
77366	77592	1	2	2
92484	92657	1	3	3
104947	105498	2	4	4
189711	189846	1	5	5
194783	194843	1	6	6
223770	225311	1	7	7
225380	225456	1	8	8
225499	225574	1	9	9
225758	228661	1	10	10
228755	228874	1	11	11
228927	229003	1	12	12
236930	237006	1	13	13
262870	262945	1	14	14
272579	272653	1	15	15
476447	476560	1	16	16
507203	507286	1	17	17
533628	533862	1	18	18
564722	564798	1	19	19
607732	607791	2	20	20
686680	686842	2	21	21
696429	696503	2	22	22
696541	696615	2	23	23
696663	696739	2	24	24
696755	696829	2	25	25
696864	696938	2	26	26
696962	697046	2	27	27
697056	697132	2	28	28
708235	708332	1	29	29
765049	765149	1	30	30
780553	780628	1	31	31
780764	780839	1	32	32
780842	780917	1	33	33
781067	781142	1	34	34
781146	781221	1	35	35
781368	781443	1	36	36
781576	781651	1	37	37
837434	837530	2	38	38
852724	853063	2	39	39
887978	888056	2	40	40
925883	925970	2	41	41
1031624	1031711	2	42	42
1097564	1097651	2	43	43
1140985	1141062	1	44	44
1146588	1146756	1	45	45
1169302	1169401	1	46	46
1190164	1190507	1	47	47
1196710	1196781	1	48	48
1269322	1269388	1	49	49
1269857	1269922	1	50	50
1270392	1270459	1	51	51
1279336	1279519	1	52	52
1287065	1287235	2	53	53
1287243	1287327	2	54	54
1287537	1287621	2	55	55
1405657	1405750	2	56	56
1409128	1409249	1	57	57
1413555	1413733	1	58	58
1418404	1418501	2	59	59
1437120	1437230	1	60	60
1491441	1491505	2	61	61
1492118	1492174	1	62	62
1622816	1622913	2	63	63
1649381	1649433	1	64	64
1746434	1746510	1	65	65
1746515	1746591	1	66	66
1764712	1764779	2	67	67
1770371	1770476	1	68	68
1923065	1923336	1	69	69
1923103	1923206	2	70	70
1958440	1958746	2	71	71
1977207	1977301	2	72	72
1978175	1978394	1	73	73
1987842	1988000	2	74	74
1991747	1991813	2	75	75
1991814	1991900	2	76	76
1991913	1991986	2	77	77
1992041	1992116	2	78	78
1996920	1997056	1	79	79
2001911	2002105	2	80	80
2025222	2025312	2	81	81
2033648	2033738	1	82	82
2043467	2043556	2	83	83
2044548	2044623	1	84	84
2058026	2058101	2	85	85
2059850	2059925	1	86	86
2062259	2062334	1	87	87
2071316	2071510	1	88	88
2153310	2153453	1	89	89
2153645	2153780	1	90	90
2167113	2167199	1	91	91
2286210	2286286	1	92	92
2313083	2313175	1	93	93
2466308	2466382	1	94	94
2518040	2518115	2	95	95
2518155	2518230	2	96	96
2520930	2521005	1	97	97
2521050	2521125	1	98	98
2521172	2521247	1	99	99
2521252	2521327	1	100	100
2640594	2640685	2	101	101
2653355	2653454	2	102	102
2653854	2654157	1	103	103
2691156	2691339	2	104	104
2700519	2700597	1	105	105
2726068	2726187	2	106	106
2726280	2729183	2	107	107
2729368	2729443	2	108	108
2729615	2731156	2	109	109
2734152	2734294	2	110	110
2737380	2737541	1	111	111
2785761	2785836	2	112	112
2814801	2814873	1	113	113
2817783	2817859	2	114	114
2818058	2818134	2	115	115
2818197	2818273	2	116	116
2818472	2818548	2	117	117
2818552	2818644	2	118	118
2887352	2887410	1	119	119
2911050	2911449	1	120	120
2924155	2924523	2	121	121
2942695	2942900	1	122	122
2947386	2947462	1	123	123
2947496	2947572	1	124	124
2947606	2947682	1	125	125
2976101	2976188	2	126	126
2976303	2976384	2	127	127
2998983	2999056	2	128	128
3055982	3056164	1	129	129
3056850	3056990	1	130	130
3110365	3110440	1	131	131
3194720	3194864	2	132	132
3195096	3195239	2	133	133
3215597	3215672	1	134	134
3270215	3270591	2	135	135
3311182	3311397	1	136	136
3318212	3318288	2	137	137
3322071	3322157	2	138	138
3350576	3350696	1	139	139
3423422	3423541	2	140	140
3423579	3423654	2	141	141
3423667	3423786	2	142	142
3423879	3426782	2	143	143
3426957	3427032	2	144	144
3427075	3427151	2	145	145
3427220	3428761	2	146	146
3438430	3438483	2	147	147
3485952	3486230	2	148	148
3536437	3536774	1	149	149
3580921	3581015	2	150	150
3648062	3648143	1	151	151
3648293	3648374	1	152	152
3657984	3658053	2	153	153
3658991	3659081	1	154	154
3664863	3664968	1	155	155
3700135	3700198	1	156	156
3708615	3708691	2	157	157
3729385	3729544	2	158	158
3808165	3808237	2	159	159
3836221	3836315	1	160	160
3845729	3845994	2	161	161
3853117	3853189	2	162	163
3853117	3853256	2	162	162
3937044	3937277	1	163	164
3941807	3943348	1	164	165
3943434	3943509	1	165	166
3943703	3946606	1	166	167
3946699	3946818	1	167	168
3946871	3946947	1	168	169
3946956	3947031	1	169	170
3982374	3982450	1	170	171
3982508	3982584	1	171	172
3982605	3982691	1	172	173
3982734	3982810	1	173	174
3986431	3986602	1	174	175
4019977	4020228	1	175	176
4035530	4037071	1	176	177
4037140	4037216	1	177	178
4037259	4037334	1	178	179
4037518	4040422	1	179	180
4040516	4040635	1	180	181
4049898	4050008	1	181	182
4051035	4051280	1	182	183
4056427	4056620	2	183	184
4106329	4106386	1	184	185
4158277	4158393	2	185	186
4166658	4168199	1	186	187
4168371	4168446	1	187	188
4168640	4171543	1	188	189
4171636	4171755	1	189	190
4175387	4175462	1	190	191
4175471	4175555	1	191	192
4175672	4175746	1	192	193
4175753	4175828	1	193	194
4190326	4190486	2	194	195
4208146	4209687	1	195	196
4209773	4209848	1	196	197
4210042	4212945	1	197	198
4213039	4213158	1	198	199
4218878	4218962	1	199	200
4242530	4242632	2	200	201
4263138	4263248	1	201	202
4277925	4278065	2	202	203
4362550	4362625	2	203	204
4366838	4366950	2	204	205
4392359	4392434	1	205	206
4392471	4392546	1	206	207
4392582	4392657	1	207	208
4496404	4496488	1	208	209
4527976	4528065	1	209	210
4543673	4543707	1	210	211
4579834	4579910	1	211	212
4606078	4606164	2	212	213
4606199	4606285	2	213	214
4606314	4606400	2	214	215
